state, probability,
[50; 0; 0; 0],5.12378595158e-73,
[49; 1; 0; 0],2.28740435337e-71,
[49; 0; 1; 0],6.09974494744e-72,
[49; 0; 0; 1],5.0810875372e-70,
[48; 2; 0; 0],1.00073936553e-69,
[48; 1; 1; 0],2.66863831032e-70,
[48; 1; 0; 1],2.22297571074e-68,
[48; 0; 2; 0],7.11636883351e-71,
[48; 0; 1; 1],5.92793523362e-69,
[48; 0; 0; 2],2.46898502285e-67,
[47; 3; 0; 0],4.28888282769e-68,
[47; 2; 1; 0],1.14370208835e-68,
[47; 2; 0; 1],9.52703838838e-67,
[47; 1; 2; 0],3.04987223815e-69,
[47; 1; 1; 1],2.54054357237e-67,
[47; 1; 0; 2],1.05813639705e-65,
[47; 0; 3; 0],8.1329926419e-70,
[47; 0; 2; 1],6.77478286534e-68,
[47; 0; 1; 2],2.82169706118e-66,
[47; 0; 0; 3],7.83491216701e-65,
[46; 4; 0; 0],1.7997989735e-66,
[46; 3; 1; 0],4.79946393336e-67,
[46; 3; 0; 1],3.99795345333e-65,
[46; 2; 2; 0],1.27985704997e-67,
[46; 2; 1; 1],1.06612092178e-65,
[46; 2; 0; 2],4.44039363571e-64,
[46; 1; 3; 0],3.41295213613e-68,
[46; 1; 2; 1],2.84298912714e-66,
[46; 1; 1; 2],1.18410497052e-64,
[46; 1; 0; 3],3.28786479887e-63,
[46; 0; 4; 0],9.10120570398e-69,
[46; 0; 3; 1],7.58130434542e-67,
[46; 0; 2; 2],3.15761325737e-65,
[46; 0; 1; 3],8.76763947101e-64,
[46; 0; 0; 4],1.82586091839e-62,
[45; 5; 0; 0],7.39203120972e-65,
[45; 4; 1; 0],1.97120832425e-65,
[45; 4; 0; 1],1.6420165328e-63,
[45; 3; 2; 0],5.25655553574e-66,
[45; 3; 1; 1],4.37871075781e-64,
[45; 3; 0; 2],1.82373302918e-62,
[45; 2; 3; 0],1.40174814404e-66,
[45; 2; 2; 1],1.16765620306e-64,
[45; 2; 1; 2],4.86328808191e-63,
[45; 2; 0; 3],1.35037298967e-61,
[45; 1; 4; 0],3.73799505392e-67,
[45; 1; 3; 1],3.11374987745e-65,
[45; 1; 2; 2],1.29687682293e-63,
[45; 1; 1; 3],3.60099464215e-62,
[45; 1; 0; 4],7.49907133635e-61,
[45; 0; 5; 0],9.96798681882e-68,
[45; 0; 4; 1],8.30333301351e-66,
[45; 0; 3; 2],3.45833819739e-64,
[45; 0; 2; 3],9.60265238714e-63,
[45; 0; 1; 4],1.99975235804e-61,
[45; 0; 0; 5],3.33158742586e-60,
[44; 6; 0; 0],2.97001242367e-63,
[44; 5; 1; 0],7.92003313644e-64,
[44; 5; 0; 1],6.59738759743e-62,
[44; 4; 2; 0],2.11200883816e-64,
[44; 4; 1; 1],1.75930336079e-62,
[44; 4; 0; 2],7.3274984919e-61,
[44; 3; 3; 0],5.63202357315e-65,
[44; 3; 2; 1],4.69147563272e-63,
[44; 3; 1; 2],1.95399959948e-61,
[44; 3; 0; 3],5.42560555027e-60,
[44; 2; 4; 0],1.5018729541e-65,
[44; 2; 3; 1],1.25106016978e-63,
[44; 2; 2; 2],5.21066560299e-62,
[44; 2; 1; 3],1.44682814795e-60,
[44; 2; 0; 4],3.01301961573e-59,
[44; 1; 5; 0],4.00499454764e-66,
[44; 1; 4; 1],3.33616045554e-64,
[44; 1; 3; 2],1.38951082863e-62,
[44; 1; 2; 3],3.85820839778e-61,
[44; 1; 1; 4],8.03471898202e-60,
[44; 1; 0; 5],1.33858418134e-58,
[44; 0; 6; 0],1.06799854693e-66,
[44; 0; 5; 1],8.89642788891e-65,
[44; 0; 4; 2],3.7053622128e-63,
[44; 0; 3; 3],1.02885557361e-61,
[44; 0; 2; 4],2.14259173034e-60,
[44; 0; 1; 5],3.56955781992e-59,
[44; 0; 0; 6],4.95573610273e-58,
[43; 7; 0; 0],1.16679054946e-61,
[43; 6; 1; 0],3.11144146784e-62,
[43; 6; 0; 1],2.59183074066e-60,
[43; 5; 2; 0],8.29717725455e-63,
[43; 5; 1; 1],6.91154864757e-61,
[43; 5; 0; 2],2.87866000944e-59,
[43; 4; 3; 0],2.21258060307e-63,
[43; 4; 2; 1],1.8430796409e-61,
[43; 4; 1; 2],7.67642669828e-60,
[43; 4; 0; 3],2.13148781153e-58,
[43; 3; 4; 0],5.90021494648e-64,
[43; 3; 3; 1],4.91487904653e-62,
[43; 3; 2; 2],2.04704712126e-60,
[43; 3; 1; 3],5.6839675022e-59,
[43; 3; 0; 4],1.1836862314e-57,
