N,Client 1,FE Server,BE Server, Client 2, Client 1 reject, Client 2 reject,
1,0.045634,0.038646,0.010306,0.905065,0.000017,0.000333,
2,0.091075,0.080958,0.021589,1.806319,0.000003,0.000057,
3,0.136348,0.126616,0.032798,2.704228,0.000001,0.000011,
4,0.181472,0.175185,0.044140,3.599200,0.000000,0.000002,
5,0.226396,0.227743,0.055672,4.490189,0.000000,0.000001,
6,0.271110,0.284471,0.067399,5.377019,0.000000,0.000000,
7,0.315587,0.345947,0.079323,6.259143,0.000000,0.000000,
8,0.359804,0.412641,0.091442,7.136113,0.000000,0.000000,
9,0.403731,0.485179,0.103752,8.007338,0.000000,0.000000,
10,0.447337,0.564221,0.116248,8.872193,0.000000,0.000000,
11,0.490586,0.650543,0.128925,9.729947,0.000000,0.000000,
12,0.533435,0.745008,0.141773,10.579784,0.000000,0.000000,
13,0.575837,0.848611,0.154780,11.420772,0.000000,0.000000,
14,0.617741,0.962467,0.167933,12.251859,0.000000,0.000000,
15,0.659085,1.087849,0.181214,13.071852,0.000000,0.000000,
16,0.699802,1.226195,0.194600,13.879403,0.000000,0.000000,
17,0.739815,1.379127,0.208067,14.672992,0.000000,0.000000,
18,0.779037,1.548472,0.221581,15.450910,0.000000,0.000000,
19,0.817373,1.736281,0.235105,16.211240,0.000000,0.000000,
20,0.854715,1.944837,0.248596,16.951851,0.000000,0.000000,
21,0.890944,2.176672,0.262002,17.670382,0.000000,0.000000,
22,0.925928,2.434561,0.275264,18.364246,0.000000,0.000000,
23,0.959528,2.721522,0.288316,19.030634,0.000000,0.000000,
24,0.991590,3.040784,0.301081,19.666544,0.000000,0.000000,
25,1.021957,3.395747,0.313477,20.268819,0.000000,0.000000,
26,1.050464,3.789911,0.325414,20.834211,0.000000,0.000000,
27,1.076948,4.226779,0.336797,21.359476,0.000000,0.000000,
28,1.101252,4.709730,0.347527,21.841492,0.000000,0.000000,
29,1.123231,5.241855,0.357507,22.277407,0.000000,0.000000,
30,1.142764,5.825778,0.366644,22.664814,0.000000,0.000000,
31,1.159761,6.463449,0.374854,23.001936,0.000000,0.000000,
32,1.174175,7.155947,0.382067,23.287811,0.000000,0.000000,
33,1.186006,7.903302,0.388234,23.522458,0.000000,0.000000,
34,1.195310,8.704365,0.393333,23.706991,0.000000,0.000000,
35,1.202202,9.556757,0.397366,23.843675,0.000000,0.000000,
36,1.206851,10.456898,0.400368,23.935883,0.000000,0.000000,
37,1.209478,11.400145,0.402401,23.987976,0.000000,0.000000,
38,1.210340,12.381023,0.403553,24.005084,0.000000,0.000000,
39,1.209723,13.393514,0.403932,23.992831,0.000000,0.000000,
40,1.302998,13.660932,0.403390,24.627284,0.000676,0.004720,
41,1.542501,13.963697,0.402883,25.080383,0.002396,0.008140,
42,1.540807,14.253909,0.402378,25.787147,0.002393,0.013366,
43,1.539300,14.195189,0.401720,26.840350,0.002390,0.021051,
44,1.203466,14.013539,0.400955,28.350031,0.000000,0.032009,
45,1.536394,14.702298,0.400791,28.326151,0.002385,0.031981,
46,1.200953,13.918732,0.399588,30.433481,0.000000,0.047247,
47,1.218498,14.914928,0.399790,30.419429,0.000129,0.047225,
48,1.532281,15.628392,0.399519,30.390250,0.002379,0.047179,
49,1.529942,16.677689,0.399027,30.343859,0.002375,0.047107,
50,1.526884,17.742338,0.398206,30.283189,0.002370,0.047013,
