N,Client 1,FE Server,BE Server, Client 2, Client 1 reject, Client 2 reject,
1,7.000000,0.300000,0.080000,7.000000,0.050000,0.050000,
2,7.000000,0.300000,0.080000,7.000000,0.050000,0.050000,
3,7.000000,0.312189,0.080867,7.000000,0.050000,0.050000,
4,7.000000,0.324388,0.081734,7.000000,0.050000,0.050000,
5,7.000000,0.338005,0.082625,7.000000,0.050000,0.050000,
6,7.000000,0.352560,0.083532,7.000000,0.050000,0.050000,
7,7.000000,0.368324,0.084454,7.000000,0.050000,0.050000,
8,7.000000,0.385342,0.085392,7.000000,0.050000,0.050000,
9,7.000000,0.403784,0.086346,7.000000,0.050000,0.050000,
10,7.000000,0.423792,0.087315,7.000000,0.050000,0.050000,
11,7.000000,0.445554,0.088300,7.000000,0.050000,0.050000,
12,7.000000,0.469266,0.089300,7.000000,0.050000,0.050000,
13,7.000000,0.495163,0.090314,7.000000,0.050000,0.050000,
14,7.000000,0.523503,0.091342,7.000000,0.050000,0.050000,
15,7.000000,0.554583,0.092382,7.000000,0.050000,0.050000,
16,7.000000,0.588740,0.093435,7.000000,0.050000,0.050000,
17,7.000000,0.626355,0.094497,7.000000,0.050000,0.050000,
18,7.000000,0.667858,0.095568,7.000000,0.050000,0.050000,
19,7.000000,0.713738,0.096645,7.000000,0.050000,0.050000,
20,7.000000,0.764542,0.097726,7.000000,0.050000,0.050000,
21,7.000000,0.820884,0.098808,7.000000,0.050000,0.050000,
22,7.000000,0.883451,0.099888,7.000000,0.050000,0.050000,
23,7.000000,0.953002,0.100960,7.000000,0.050000,0.050000,
24,7.000000,1.030368,0.102021,7.000000,0.050000,0.050000,
25,7.000000,1.116457,0.103065,7.000000,0.050000,0.050000,
26,7.000000,1.212235,0.104086,7.000000,0.050000,0.050000,
27,7.000000,1.318724,0.105078,7.000000,0.050000,0.050000,
28,7.000000,1.436973,0.106033,7.000000,0.050000,0.050000,
29,7.000000,1.568034,0.106944,7.000000,0.050000,0.050000,
30,7.000000,1.712919,0.107802,7.000000,0.050000,0.050000,
31,7.000000,1.872557,0.108601,7.000000,0.050000,0.050000,
32,7.000000,2.047734,0.109332,7.000000,0.050000,0.050000,
33,7.000000,2.239035,0.109988,7.000000,0.050000,0.050000,
34,7.000000,2.446784,0.110565,7.000000,0.050000,0.050000,
35,7.000000,2.670990,0.111059,7.000000,0.050000,0.050000,
36,7.000000,2.911310,0.111467,7.000000,0.050000,0.050000,
37,7.000000,3.167027,0.111789,7.000000,0.050000,0.050000,
38,7.000000,3.437069,0.112029,7.000000,0.050000,0.050000,
39,7.000000,3.720044,0.112192,7.000000,0.050000,0.050000,
40,7.000000,3.798496,0.112165,7.000000,0.050000,0.050000,
41,7.000000,3.886838,0.112144,7.000000,0.050000,0.050000,
42,7.000000,3.971753,0.112120,7.000000,0.050000,0.050000,
43,7.000000,3.959139,0.112043,7.000000,0.050000,0.050000,
44,7.000000,3.912490,0.111944,7.000000,0.050000,0.050000,
45,7.000000,4.108223,0.111992,7.000000,0.050000,0.050000,
46,7.000000,3.894153,0.111796,7.000000,0.050000,0.050000,
47,7.000000,4.174784,0.111904,7.000000,0.050000,0.050000,
48,7.000000,4.378682,0.111935,7.000000,0.050000,0.050000,
49,7.000000,4.679810,0.111968,7.000000,0.050000,0.050000,
50,7.000000,4.988526,0.111962,7.000000,0.050000,0.050000,
