N,Client 1,FE Server,BE Server, Client 2, Client 1 reject, Client 2 reject,
1,0.006519,0.128821,0.128821,0.129295,0.000336,0.006657,
2,0.013011,0.269860,0.269860,0.258046,0.000057,0.001139,
3,0.019478,0.405576,0.405576,0.386318,0.000011,0.000210,
4,0.025925,0.540048,0.540048,0.514171,0.000002,0.000045,
5,0.032342,0.673786,0.673786,0.641456,0.000001,0.000011,
6,0.038730,0.806872,0.806872,0.768146,0.000000,0.000003,
7,0.045084,0.939246,0.939246,0.894163,0.000000,0.000001,
8,0.051401,1.070845,1.070845,1.019445,0.000000,0.000000,
9,0.057676,1.201581,1.201581,1.143905,0.000000,0.000000,
10,0.063905,1.331361,1.331361,1.267456,0.000000,0.000000,
11,0.070084,1.460076,1.460076,1.389992,0.000000,0.000000,
12,0.076205,1.587603,1.587603,1.511398,0.000000,0.000000,
13,0.082262,1.713801,1.713801,1.631539,0.000000,0.000000,
14,0.088249,1.838514,1.838514,1.750266,0.000000,0.000000,
15,0.094155,1.961562,1.961562,1.867407,0.000000,0.000000,
16,0.099972,2.082744,2.082744,1.982772,0.000000,0.000000,
17,0.105688,2.201830,2.201830,2.096142,0.000000,0.000000,
18,0.111291,2.318564,2.318564,2.207273,0.000000,0.000000,
19,0.116768,2.432659,2.432659,2.315891,0.000000,0.000000,
20,0.122102,2.543795,2.543795,2.421693,0.000000,0.000000,
21,0.127278,2.651618,2.651618,2.524340,0.000000,0.000000,
22,0.132275,2.755739,2.755739,2.623464,0.000000,0.000000,
23,0.137075,2.855737,2.855737,2.718662,0.000000,0.000000,
24,0.141656,2.951162,2.951162,2.809506,0.000000,0.000000,
25,0.145994,3.041539,3.041539,2.895546,0.000000,0.000000,
26,0.150066,3.126382,3.126382,2.976316,0.000000,0.000000,
27,0.153850,3.205203,3.205203,3.051354,0.000000,0.000000,
28,0.157322,3.277535,3.277535,3.120213,0.000000,0.000000,
29,0.160462,3.342948,3.342948,3.182487,0.000000,0.000000,
30,0.163252,3.401083,3.401083,3.237831,0.000000,0.000000,
31,0.165680,3.451671,3.451671,3.285991,0.000000,0.000000,
32,0.167739,3.494569,3.494569,3.326830,0.000000,0.000000,
33,0.169429,3.529781,3.529781,3.360351,0.000000,0.000000,
34,0.170759,3.557472,3.557472,3.386713,0.000000,0.000000,
35,0.171743,3.577982,3.577982,3.406239,0.000000,0.000000,
36,0.172407,3.591819,3.591819,3.419412,0.000000,0.000000,
37,0.172783,3.599636,3.599636,3.426854,0.000000,0.000000,
38,0.172906,3.602203,3.602203,3.429298,0.000000,0.000000,
39,0.172818,3.600365,3.600365,3.427547,0.000000,0.000000,
40,0.186143,3.596405,3.596405,3.518183,0.013515,0.094406,
41,0.220357,3.592560,3.592560,3.582912,0.047914,0.162795,
42,0.220115,3.588821,3.588821,3.683878,0.047852,0.267321,
43,0.219900,3.585423,3.585423,3.834336,0.047800,0.421013,
44,0.171924,3.581744,3.581744,4.050004,0.000000,0.640184,
45,0.219485,3.578749,3.578749,4.046593,0.047705,0.639624,
46,0.171565,3.574264,3.574264,4.347640,0.000000,0.944940,
47,0.174071,3.572623,3.572623,4.345633,0.002585,0.944496,
48,0.218897,3.569200,3.569200,4.341464,0.047576,0.943586,
49,0.218563,3.563754,3.563754,4.334837,0.047503,0.942143,
50,0.218126,3.556629,3.556629,4.326170,0.047408,0.940259,
