N,Client 1,FE Server,BE Server, Client 2, Client 1 reject, Client 2 reject,
1,0.319435,0.011594,0.000824,6.335454,0.000001,0.000017,
2,0.637524,0.024287,0.001727,12.644230,0.000000,0.000003,
3,0.954433,0.037985,0.002624,18.929593,0.000000,0.000001,
4,1.270306,0.052556,0.003531,25.194397,0.000000,0.000000,
5,1.584773,0.068323,0.004454,31.431322,0.000000,0.000000,
6,1.897772,0.085341,0.005392,37.639136,0.000000,0.000000,
7,2.209109,0.103784,0.006346,43.814002,0.000000,0.000000,
8,2.518628,0.123792,0.007315,49.952793,0.000000,0.000000,
9,2.826119,0.145554,0.008300,56.051364,0.000000,0.000000,
10,3.131362,0.169266,0.009300,62.105354,0.000000,0.000000,
11,3.434099,0.195163,0.010314,68.109629,0.000000,0.000000,
12,3.734042,0.223503,0.011342,74.058491,0.000000,0.000000,
13,4.030861,0.254583,0.012382,79.945404,0.000000,0.000000,
14,4.324186,0.288740,0.013435,85.763014,0.000000,0.000000,
15,4.613595,0.326355,0.014497,91.502962,0.000000,0.000000,
16,4.898613,0.367858,0.015568,97.155822,0.000000,0.000000,
17,5.178703,0.413738,0.016645,102.710945,0.000000,0.000000,
18,5.453262,0.464542,0.017726,108.156368,0.000000,0.000000,
19,5.721614,0.520884,0.018808,113.478682,0.000000,0.000000,
20,5.983006,0.583451,0.019888,118.662959,0.000000,0.000000,
21,6.236606,0.653002,0.020960,123.692677,0.000000,0.000000,
22,6.481499,0.730368,0.022021,128.549722,0.000000,0.000000,
23,6.716694,0.816457,0.023065,133.214440,0.000000,0.000000,
24,6.941133,0.912235,0.024086,137.665811,0.000000,0.000000,
25,7.153701,1.018724,0.025078,141.881732,0.000000,0.000000,
26,7.353251,1.136973,0.026033,145.839476,0.000000,0.000000,
27,7.538639,1.268034,0.026944,149.516331,0.000000,0.000000,
28,7.708762,1.412919,0.027802,152.890441,0.000000,0.000000,
29,7.862614,1.572557,0.028601,155.941847,0.000000,0.000000,
30,7.999346,1.747734,0.029332,158.653697,0.000000,0.000000,
31,8.118330,1.939035,0.029988,161.013550,0.000000,0.000000,
32,8.219227,2.146784,0.030565,163.014677,0.000000,0.000000,
33,8.302044,2.370990,0.031059,164.657204,0.000000,0.000000,
34,8.367173,2.611310,0.031467,165.948939,0.000000,0.000000,
35,8.415415,2.867027,0.031789,166.905723,0.000000,0.000000,
36,8.447959,3.137069,0.032029,167.551182,0.000000,0.000000,
37,8.466344,3.420044,0.032192,167.915832,0.000000,0.000000,
38,8.472383,3.714307,0.032284,168.035588,0.000000,0.000000,
39,8.468058,4.018054,0.032315,167.949817,0.000000,0.000000,
40,9.120989,4.098279,0.032271,172.390985,0.000034,0.000236,
41,10.797507,4.189109,0.032231,175.562683,0.000120,0.000407,
42,10.785650,4.276173,0.032190,180.510028,0.000120,0.000668,
43,10.775098,4.258557,0.032138,187.882453,0.000119,0.001053,
44,8.424262,4.204062,0.032076,198.450216,0.000000,0.001600,
45,10.754756,4.410690,0.032063,198.283055,0.000119,0.001599,
46,8.406670,4.175620,0.031967,213.034364,0.000000,0.002362,
47,8.529489,4.474479,0.031983,212.936004,0.000006,0.002361,
48,10.725970,4.688517,0.031962,212.731748,0.000119,0.002359,
49,10.709597,5.003307,0.031922,212.407014,0.000119,0.002355,
50,10.688185,5.322701,0.031856,211.982326,0.000119,0.002351,
